"doc_i","doc_j","r"
"text6","text21",0.1628272736404
"text21","text6",0.1628272736404
"text10","text21",0.17444577123016
"text21","text10",0.17444577123016
"text21","text22",0.18074648212146
"text22","text21",0.18074648212146
"text11","text21",0.18587002834
"text21","text11",0.18587002834
"text7","text21",0.18631755364983
"text21","text7",0.18631755364983
"text5","text21",0.19054768778713
"text21","text5",0.19054768778713
"text20","text21",0.1906597946201
"text21","text20",0.1906597946201
"text15","text21",0.19627769427577
"text21","text15",0.19627769427577
