"doc_i","doc_j","r"
"text9","text13",0.99975273399845
"text13","text9",0.99975273399845
"text14","text18",0.98197537321486
"text18","text14",0.98197537321486
"text17","text20",0.92739866038914
"text20","text17",0.92739866038914
"text1","text4",0.8885150956255
"text4","text1",0.8885150956255
"text4","text6",0.85445832801013
"text6","text4",0.85445832801013
"text3","text6",0.78881163000898
"text6","text3",0.78881163000898
"text8","text19",0.78518574866712
"text19","text8",0.78518574866712
"text1","text6",0.76507753206176
"text6","text1",0.76507753206176
